t,u,r,time_s
1780959448.8809927,0.0,0.12,0.06827211380004883
1780959448.980264,0.0,0.12,0.1675434112548828
1780959449.0801852,0.0,0.12,0.26746463775634766
1780959449.1801472,0.0,0.12,0.36742663383483887
1780959449.2801793,0.0,0.12,0.46745872497558594
1780959449.3800352,0.0,0.12,0.567314624786377
1780959449.4801683,0.0,0.12,0.6674478054046631
1780959449.5803435,0.0,0.12,0.7676229476928711
1780959449.6800547,0.0,0.12,0.8673341274261475
1780959449.7810826,0.0,0.12,0.9683620929718018
1780959449.8800895,0.0,0.12,1.067368984222412
1780959449.9803543,0.0,0.12,1.1676337718963623
1780959450.0801377,0.0,0.12,1.2674171924591064
1780959450.1800778,0.0,0.12,1.3673572540283203
1780959450.2803788,0.0,0.12,1.467658281326294
1780959450.3798823,0.0,0.12,1.5671617984771729
1780959450.4799814,0.0,0.12,1.6672608852386475
1780959450.58009,0.0,0.12,1.7673695087432861
1780959450.6799967,0.0,0.12,1.8672761917114258
1780959450.7801416,0.0,0.12,1.967421054840088
1780959450.8801239,0.0,0.12,2.0674033164978027
1780959450.9801128,0.0,0.12,2.1673922538757324
1780959451.080626,0.0,0.12,2.2679054737091064
1780959451.1800108,0.0,0.12,2.3672902584075928
1780959451.2799873,0.0,0.12,2.467266798019409
1780959451.3801155,0.0,0.12,2.567394971847534
1780959451.4807632,0.0,0.12,2.6680426597595215
1780959451.5801897,0.0,0.12,2.7674691677093506
1780959451.6801064,0.0,0.12,2.8673858642578125
1780959451.7800808,0.0,0.12,2.967360258102417
1780959451.8800623,0.0,0.12,3.0673418045043945
1780959451.9811072,0.0,0.12,3.168386697769165
1780959452.080133,0.0,0.12,3.2674124240875244
1780959452.18011,0.0,0.12,3.367389440536499
1780959452.2799625,0.0,0.12,3.4672420024871826
1780959452.3807771,0.0,0.12,3.568056583404541
1780959452.4800825,0.0,0.12,3.6673619747161865
1780959452.5799725,0.0,0.12,3.767251968383789
1780959452.6802285,0.0,0.12,3.8675079345703125
1780959452.7801685,0.0,0.12,3.9674479961395264
1780959452.8801045,0.0,0.12,4.0673840045928955
1780959452.9801078,0.0,0.12,4.167387247085571
1780959453.0807498,0.0,0.12,4.26802921295166
1780959453.1801155,0.0,0.12,4.367394924163818
1780959453.2803795,0.0,0.12,4.467658996582031
1780959453.380109,0.0,0.12,4.567388534545898
1780959453.4800112,0.0,0.12,4.667290687561035
1780959453.5800858,0.0,0.12,4.767365217208862
1780959453.6800735,0.0,0.12,4.8673529624938965
1780959453.7800112,0.0,0.12,4.967290639877319
1780959453.8801363,0.0,0.12,5.067415714263916
1780959453.9801435,0.0,0.12,5.1674230098724365
1780959454.0801344,0.0,0.12,5.267413854598999
1780959454.1801252,0.0,0.12,5.3674046993255615
1780959454.2801464,0.0,0.12,5.46742582321167
1780959454.3800685,0.0,0.12,5.567348003387451
1780959454.4803212,0.0,0.12,5.667600631713867
1780959454.5807302,0.0,0.12,5.768009662628174
1780959454.6801636,0.0,0.12,5.867443084716797
1780959454.7802277,0.0,0.12,5.9675071239471436
1780959454.8801625,0.0,0.12,6.067441940307617
1780959454.9800894,0.0,0.12,6.1673688888549805
1780959455.0800788,0.0,0.12,6.267358303070068
1780959455.180158,0.0,0.12,6.367437362670898
1780959455.2801096,0.0,0.12,6.467389106750488
1780959455.3801196,0.0,0.12,6.567399024963379
1780959455.480132,0.0,0.12,6.66741156578064
1780959455.580168,0.0,0.12,6.767447471618652
1780959455.6800976,0.0,0.12,6.867377042770386
1780959455.7815385,0.0,0.09999999999999999,6.968817949295044
1780959455.880125,0.0,0.07999999999999999,7.067404508590698
1780959455.9800088,0.0,0.059999999999999984,7.167288303375244
1780959456.080091,0.0,0.03999999999999998,7.2673704624176025
1780959456.180175,0.0,0.01999999999999998,7.367454528808594
1780959456.282487,-0.04000000000000001,-2.0816681711721685e-17,7.46976637840271
1780959456.3804586,-0.04000000000000001,-0.02000000000000002,7.567738056182861
1780959456.480217,-0.04000000000000001,-0.04000000000000002,7.6674964427948
1780959456.5805323,-0.04000000000000001,-0.060000000000000026,7.7678117752075195
1780959456.6803665,-0.04000000000000001,-0.08000000000000003,7.867645978927612
1780959456.7805574,-0.04000000000000001,-0.10000000000000003,7.967836856842041
1780959456.8800812,-0.04000000000000001,-0.12000000000000004,8.067360639572144
1780959456.9802103,-0.04000000000000001,-0.14000000000000004,8.167489767074585
1780959457.08028,-0.04000000000000001,-0.16000000000000003,8.26755952835083
1780959457.1805086,-0.04000000000000001,-0.1637036705264801,8.367788076400757
1780959457.2804403,-0.04000000000000001,-0.16392215328729098,8.467719793319702
1780959457.3804975,-0.04000000000000001,-0.16429793410430207,8.567776918411255
1780959457.4802072,-0.04000000000000001,-0.16447708396889313,8.667486667633057
1780959457.5805058,-0.04000000000000001,-0.16395954368108925,8.76778531074524
1780959457.6814125,0.0,-0.14395954368108926,8.86869192123413
1780959457.7812886,0.0,-0.12395954368108926,8.968568086624146
1780959457.8801126,0.0,-0.10395954368108926,9.067392110824585
1780959457.980065,0.0,-0.08395954368108925,9.167344570159912
1780959458.0802164,0.0,-0.06395954368108925,9.26749587059021
1780959458.1802163,0.0,-0.043959543681089244,9.367495775222778
1780959458.2815375,-0.04000000000000001,-0.06395954368108925,9.468816995620728
1780959458.3802984,-0.04000000000000001,-0.08395954368108925,9.567577838897705
1780959458.4804764,-0.04000000000000001,-0.10395954368108926,9.667755842208862
1780959458.5803583,-0.04000000000000001,-0.12395954368108926,9.767637729644775
1780959458.6803582,-0.04000000000000001,-0.14395954368108926,9.867637634277344
1780959458.7802286,-0.04000000000000001,-0.15004107880680828,9.96750807762146
1780959458.8805177,-0.04000000000000001,-0.14952172238924993,10.067797183990479
1780959458.981664,0.0,-0.12952172238924994,10.168943405151367
1780959459.0816984,0.0,-0.10952172238924994,10.268977880477905
1780959459.180962,0.0,-0.08952172238924994,10.368241548538208
1780959459.2801092,0.0,-0.06952172238924993,10.46738862991333
1780959459.3802357,0.0,-0.04952172238924993,10.567515134811401
1780959459.4800856,0.0,-0.029521722389249928,10.667365074157715
1780959459.5811894,0.0,-0.009521722389249927,10.768468856811523
1780959459.6801257,0.0,0.010478277610750073,10.86740517616272
1780959459.7799966,0.0,0.030478277610750074,10.967276096343994
1780959459.880074,0.0,0.05047827761075008,11.06735348701477
1780959459.980336,0.0,0.07047827761075008,11.167615413665771
1780959460.079997,0.0,0.09047827761075009,11.267276525497437
1780959460.1800692,0.0,0.11047827761075009,11.367348670959473
1780959460.2800677,0.0,0.12,11.467347145080566
1780959460.380036,0.0,0.12,11.567315578460693
1780959460.4799895,0.0,0.12,11.667268991470337
1780959460.5800822,0.0,0.12,11.767361640930176
1780959460.6802351,0.0,0.12,11.867514610290527
1780959460.7801251,0.0,0.12,11.96740460395813
1780959460.8812137,0.0,0.12,12.068493127822876
1780959460.9800823,0.0,0.12,12.167361736297607
1780959461.0803444,0.0,0.12,12.267623901367188
1780959461.1801229,0.0,0.12,12.36740231513977
1780959461.2802916,0.0,0.12,12.467571020126343
1780959461.3797626,0.0,0.12,12.567042112350464
1780959461.480176,0.0,0.12,12.667455434799194
1780959461.580107,0.0,0.12,12.767386436462402
1780959461.6801682,0.0,0.12,12.8674476146698
1780959461.7800915,0.0,0.12,12.967370986938477
1780959461.8807898,0.0,0.12,13.068069219589233
1780959461.9797363,0.0,0.12,13.167015790939331
1780959462.0800955,0.0,0.12,13.267374992370605
1780959462.1801102,0.0,0.12,13.367389678955078
1780959462.280009,0.0,0.12,13.467288494110107
1780959462.3800557,0.0,0.12,13.56733512878418
1780959462.4799845,0.0,0.12,13.667263984680176
1780959462.580177,0.0,0.12,13.767456531524658
1780959462.6798508,0.0,0.12,13.867130279541016
1780959462.7801974,0.0,0.12,13.967476844787598
1780959462.880225,0.0,0.12,14.067504405975342
1780959462.9799855,0.0,0.12,14.167264938354492
1780959463.0800898,0.0,0.12,14.267369270324707
1780959463.1799424,0.0,0.12,14.36722183227539
1780959463.2801995,0.0,0.12,14.46747899055481
1780959463.3800569,0.0,0.12,14.567336320877075
1780959463.480041,0.0,0.12,14.667320489883423
1780959463.5800502,0.0,0.12,14.767329692840576
1780959463.6799304,0.0,0.12,14.867209911346436
1780959463.7800217,0.0,0.12,14.9673011302948
1780959463.880084,0.0,0.12,15.067363500595093
1780959463.97992,0.0,0.12,15.16719937324524
1780959464.0800843,0.0,0.12,15.267363786697388
1780959464.1808748,0.0,0.12,15.368154287338257
1780959464.2803884,0.0,0.12,15.467667818069458
1780959464.3799887,0.0,0.12,15.567268133163452
1780959464.4805286,0.0,0.12,15.667808055877686
1780959464.5808663,0.0,0.12,15.76814579963684
1780959464.6808548,0.0,0.12,15.868134260177612
1780959464.7801816,0.0,0.12,15.967461109161377
1780959464.8800309,0.0,0.12,16.067310333251953
1780959464.9799526,0.0,0.12,16.167232036590576
1780959465.0811365,0.0,0.12,16.268415927886963
1780959465.1800623,0.0,0.12,16.36734175682068
1780959465.280226,0.0,0.12,16.46750545501709
1780959465.380124,0.0,0.12,16.567403554916382
1780959465.4801233,0.0,0.12,16.667402744293213
1780959465.580083,0.0,0.12,16.767362356185913
1780959465.6799984,0.0,0.12,16.86727786064148
1780959465.7799397,0.0,0.12,16.96721911430359
1780959465.8801203,0.0,0.12,17.067399740219116
1780959465.9801388,0.0,0.12,17.167418241500854
1780959466.0800724,0.0,0.12,17.267351865768433
1780959466.1804035,0.0,0.12,17.367682933807373
1780959466.2802157,0.0,0.12,17.46749520301819
1780959466.3801253,0.0,0.12,17.567404747009277
1780959466.4803114,0.0,0.12,17.667590856552124
1780959466.5800471,0.0,0.12,17.767326593399048
1780959466.6799655,0.0,0.12,17.867244958877563
1780959466.7799814,0.0,0.12,17.96726083755493
1780959466.880168,0.0,0.12,18.067447423934937
1780959466.979908,0.0,0.12,18.167187452316284
1780959467.0800653,0.0,0.12,18.26734471321106
1780959467.1800258,0.0,0.12,18.367305278778076
1780959467.280095,0.0,0.12,18.467374563217163
1780959467.3800535,0.0,0.12,18.567332983016968
1780959467.4801571,0.0,0.12,18.667436599731445
1780959467.5805266,0.0,0.12,18.76780605316162
1780959467.6801329,0.0,0.12,18.867412328720093
1780959467.7799726,0.0,0.12,18.967252016067505
1780959467.880002,0.0,0.12,19.067281484603882
1780959467.979878,0.0,0.12,19.167157411575317
1780959468.079992,0.0,0.12,19.267271518707275
1780959468.1801105,0.0,0.12,19.367389917373657
1780959468.2800925,0.0,0.12,19.467371940612793
1780959468.3800046,0.0,0.12,19.567284107208252
1780959468.4800177,0.0,0.12,19.66729712486267
1780959468.580025,0.0,0.12,19.76730442047119
1780959468.6800785,0.0,0.12,19.867357969284058
1780959468.780119,0.0,0.12,19.967398405075073
1780959468.8800964,0.0,0.12,20.067375898361206
1780959468.980896,0.0,0.12,20.16817545890808
1780959469.0801272,0.0,0.12,20.267406702041626
1780959469.1801698,0.0,0.12,20.367449283599854
1780959469.2800999,0.0,0.12,20.467379331588745
1780959469.3800883,0.0,0.12,20.567367792129517
1780959469.4801085,0.0,0.12,20.66738796234131
1780959469.5801187,0.0,0.12,20.76739811897278
1780959469.6801224,0.0,0.12,20.867401838302612
1780959469.7801766,0.0,0.12,20.967456102371216
1780959469.8801646,0.0,0.12,21.06744408607483
1780959469.9800098,0.0,0.12,21.16728925704956
1780959470.0799348,0.0,0.12,21.26721429824829
1780959470.1800497,0.0,0.12,21.367329120635986
1780959470.2804947,0.0,0.12,21.467774152755737
1780959470.380067,0.0,0.12,21.567346572875977
1780959470.480317,0.0,0.12,21.667596578598022
1780959470.5800793,0.0,0.12,21.767358779907227
1780959470.6803086,0.0,0.12,21.86758804321289
1780959470.7800412,0.0,0.12,21.967320680618286
1780959470.8801053,0.0,0.12,22.067384719848633
1780959470.979974,0.0,0.12,22.167253494262695
1780959471.0801914,0.0,0.12,22.267470836639404
1780959471.1800158,0.0,0.12,22.367295265197754
1780959471.2800386,0.0,0.12,22.467318058013916
1780959471.3800976,0.0,0.12,22.5673770904541
1780959471.4798622,0.0,0.12,22.667141675949097
1780959471.5801218,0.0,0.12,22.767401218414307
1780959471.6800518,0.0,0.12,22.8673312664032
1780959471.779988,0.0,0.12,22.967267513275146
1780959471.8801813,0.0,0.12,23.067460775375366
1780959471.9801376,0.0,0.12,23.16741704940796
1780959472.0800524,0.0,0.12,23.267331838607788
1780959472.180044,0.0,0.12,23.367323398590088
1780959472.279908,0.0,0.12,23.46718740463257
1780959472.3802094,0.0,0.12,23.5674889087677
1780959472.479932,0.0,0.12,23.667211532592773
1780959472.5800202,0.0,0.12,23.76729965209961
1780959472.6800182,0.0,0.12,23.867297649383545
1780959472.7800844,0.0,0.12,23.967363834381104
1780959472.8800614,0.0,0.12,24.067340850830078
1780959472.9799645,0.0,0.12,24.16724395751953
1780959473.0810413,0.0,0.12,24.2683207988739
1780959473.1800723,0.0,0.12,24.367351770401
1780959473.2798753,0.0,0.12,24.46715474128723
1780959473.3802269,0.0,0.12,24.567506313323975
1780959473.479959,0.0,0.12,24.667238473892212
1780959473.5801551,0.0,0.12,24.76743459701538
1780959473.679898,0.0,0.12,24.867177486419678
1780959473.7801023,0.0,0.12,24.967381715774536
1780959473.880151,0.0,0.12,25.06743049621582
1780959473.980187,0.0,0.12,25.167466402053833
1780959474.0801558,0.0,0.12,25.267435312271118
1780959474.180966,0.0,0.12,25.368245363235474
1780959474.2799973,0.0,0.12,25.46727681159973
1780959474.3800218,0.0,0.12,25.567301273345947
1780959474.4801552,0.0,0.12,25.667434692382812
1780959474.58003,0.0,0.12,25.767309427261353
1780959474.6799598,0.0,0.12,25.867239236831665
1780959474.7799861,0.0,0.12,25.967265605926514
1780959474.8803198,0.0,0.12,26.067599296569824
1780959474.9800959,0.0,0.12,26.167375326156616
1780959475.0800762,0.0,0.12,26.2673556804657
1780959475.1801453,0.0,0.12,26.367424726486206
1780959475.2800636,0.0,0.12,26.46734309196472
1780959475.3801794,0.0,0.12,26.567458868026733
1780959475.4798834,0.0,0.12,26.667162895202637
1780959475.58007,0.0,0.12,26.76734948158264
1780959475.680501,0.0,0.12,26.867780447006226
1780959475.780082,0.0,0.12,26.967361450195312
1780959475.880628,0.0,0.12,27.067907571792603
1780959475.9801164,0.0,0.12,27.16739583015442
