t,u,r,time_s
1781029392.7524605,-0.15,0.03031423512274154,0.23541641235351562
1781029392.8615253,-0.15,0.030175161054580478,0.3444812297821045
1781029392.9497209,-0.15,0.029810898733923,0.4326767921447754
1781029393.032121,0.0,-0.020189101266077,0.5150768756866455
1781029393.1606245,0.0,-0.070189101266077,0.643580436706543
1781029393.238944,0.0,-0.020189101266076995,0.7218999862670898
1781029393.3401554,0.0,0.0,0.8231112957000732
1781029393.4352603,0.0,0.0,0.9182162284851074
1781029393.5463605,0.0,0.0,1.0293164253234863
1781029393.635994,0.0,0.0,1.1189498901367188
1781029393.7468886,0.0,0.0,1.229844570159912
1781029393.8413882,0.0,0.0,1.3243441581726074
1781029393.9347792,0.0,0.0,1.4177350997924805
1781029394.031258,0.0,0.0,1.514214038848877
1781029394.1401985,0.0,0.0,1.6231544017791748
1781029394.2339454,-0.15,0.026621625343227876,1.7169013023376465
1781029394.3371837,-0.15,0.02617512712728797,1.8201396465301514
1781029394.4389534,-0.15,0.02626518464007056,1.9219093322753906
1781029394.549628,-0.15,0.02600618901786961,2.0325839519500732
1781029394.6413,-0.15,0.024470959368443655,2.124255895614624
1781029394.744307,-0.15,0.021001548188523185,2.2272629737854004
1781029394.8459141,-0.15,0.01854752168700794,2.3288700580596924
1781029394.9456482,-0.15,0.01694205711565704,2.4286041259765625
1781029395.061492,-0.15,0.017917278574198444,2.544447898864746
1781029395.14853,-0.15,0.019106564456499296,2.631485939025879
1781029395.2346447,-0.15,0.019651757590138656,2.7176005840301514
1781029395.3471673,-0.15,0.01978478689368082,2.83012318611145
1781029395.440759,-0.15,0.019781623250037367,2.9237148761749268
1781029395.5525906,-0.15,0.019314692426113195,3.0355465412139893
1781029395.6348324,-0.15,0.018755138630501746,3.117788314819336
1781029395.740633,0.0,0.028328241742981094,3.2235889434814453
1781029395.833445,0.0,0.02916589081266784,3.3164010047912598
1781029395.9451256,0.0,0.03000327431192521,3.428081512451172
1781029396.0729094,0.0,0.0,3.5558652877807617
1781029396.151934,0.0,0.0,3.634889841079712
1781029396.224723,0.0,0.0,3.707679033279419
1781029396.3352973,0.0,0.0,3.8182532787323
1781029396.4419096,0.0,0.05,3.924865484237671
1781029396.5384057,0.0,0.07871071691660991,4.021361589431763
1781029396.631106,0.0,0.08,4.1140618324279785
1781029396.7298784,0.0,0.08,4.212834358215332
1781029396.8360462,0.0,0.08,4.319002151489258
1781029396.9346898,0.0,0.08,4.417645692825317
1781029397.0278678,0.0,0.08,4.510823726654053
1781029397.1340494,0.0,0.08,4.617005348205566
1781029397.237829,0.0,0.08,4.720784902572632
1781029397.3415704,0.0,0.08,4.824526309967041
1781029397.4367728,0.0,0.08,4.919728755950928
1781029397.5247798,0.0,0.08,5.007735729217529
1781029397.626132,0.0,0.08,5.109087944030762
1781029397.744822,0.0,0.08,5.22777795791626
1781029397.8377905,0.0,0.08,5.320746421813965
1781029397.939894,0.0,0.08,5.422849893569946
1781029398.035085,0.0,0.08,5.518040895462036
1781029398.1437829,0.0,0.08,5.626738786697388
1781029398.234177,0.0,0.08,5.717133045196533
1781029398.3361542,0.0,0.08,5.819110155105591
1781029398.449303,0.0,0.08,5.93225884437561
1781029398.5595,0.0,0.08,6.0424559116363525
1781029398.6404352,0.0,0.08,6.123391151428223
1781029398.7353585,0.0,0.08,6.2183144092559814
1781029398.84409,0.0,0.08,6.327045917510986
1781029398.9384134,0.0,0.08,6.421369314193726
1781029399.0320947,0.0,0.08,6.515050649642944
1781029399.142169,0.0,0.08,6.625124931335449
1781029399.2388914,0.0,0.08,6.721847295761108
1781029399.3351545,0.0,0.08,6.818110466003418
1781029399.4441247,0.0,0.08,6.9270806312561035
1781029399.5451882,0.0,0.08,7.028144121170044
1781029399.6284578,0.0,0.03,7.1114137172698975
1781029399.7429295,0.0,-0.020000000000000004,7.225885391235352
1781029399.8403683,0.0,-0.07,7.323324203491211
1781029399.9250255,0.0,-0.08,7.4079813957214355
1781029400.020337,0.0,-0.08,7.503293037414551
1781029400.1315367,0.0,-0.03,7.614492654800415
1781029400.2306693,0.0,0.0,7.713625192642212
1781029400.3287249,0.0,0.0,7.811680793762207
1781029400.433232,0.0,0.0,7.91618800163269
1781029400.5295687,0.0,0.0,8.012524604797363
1781029400.6235616,0.0,0.0,8.106517553329468
1781029400.731798,0.0,0.0,8.214753866195679
1781029400.830268,0.0,0.0,8.313223838806152
1781029400.9306533,0.0,-0.04142401389731126,8.413609266281128
1781029401.0224838,0.0,-0.030930941288872374,8.505439758300781
1781029401.1305296,0.0,-0.020446241205005114,8.61348557472229
1781029401.226746,0.0,-0.009965589924065033,8.709702014923096
1781029401.3256102,0.0,0.0005030898963681446,8.808566093444824
1781029401.4248524,0.0,0.011001335975213989,8.907808303833008
1781029401.5308468,0.0,0.02147933803942394,9.013802766799927
1781029401.6326077,0.0,0.0,9.11556363105774
1781029401.7312398,0.0,0.03574463028866677,9.214195728302002
1781029401.8320482,0.0,0.045667212147690595,9.315004110336304
1781029401.939064,0.0,0.0,9.422019958496094
1781029402.0360534,0.0,0.0,9.519009351730347
1781029402.1570272,0.0,0.0,9.639983177185059
1781029402.230751,0.0,0.0,9.713706970214844
1781029402.3362648,0.0,0.0,9.819220781326294
1781029402.4288464,0.0,-0.04987635325945031,9.911802291870117
1781029402.5381453,0.0,-0.049811885686640765,10.021101236343384
1781029402.6361938,0.0,0.0,10.119149684906006
1781029402.7290335,0.0,0.0,10.211989402770996
1781029402.8222516,0.0,0.0,10.30520749092102
1781029402.9300995,0.0,0.0,10.413055419921875
1781029403.056454,0.0,0.0,10.539409875869751
1781029403.128145,0.0,0.0,10.611100912094116
1781029403.223779,0.0,0.0,10.706734895706177
1781029403.323416,0.0,0.0,10.806371927261353
1781029403.4258192,0.0,0.0,10.908775091171265
1781029403.526173,0.0,0.0,11.009129047393799
1781029403.6343424,0.0,0.05,11.117298364639282
1781029403.730675,0.0,0.053752956470843855,11.21363091468811
1781029403.8289037,0.0,0.0037529564708438518,11.311859607696533
1781029403.9278798,0.0,0.0,11.41083574295044
1781029404.0253754,0.0,0.0,11.508331298828125
1781029404.1332438,0.0,0.0,11.616199731826782
1781029404.2352386,0.0,0.0,11.718194484710693
1781029404.351261,0.0,0.0,11.834216833114624
1781029404.467413,0.0,0.0,11.950368881225586
1781029404.571358,0.0,0.0,12.054313898086548
1781029404.6788685,0.0,0.0,12.161824464797974
1781029404.8138862,0.0,0.0,12.296842098236084
1781029404.9447079,-0.25,0.000438960344393935,12.427663803100586
1781029405.0320477,-0.25,0.0010299262762551932,12.515003681182861
1781029405.1530905,-0.25,0.0023723458127960055,12.636046409606934
1781029405.2516243,-0.25,0.0013064031709763457,12.734580278396606
1781029405.3484147,-0.25,-0.0029013744533598457,12.83137059211731
1781029405.4722989,-0.25,-0.0049259920330731,12.955254793167114
1781029405.5363166,-0.25,-0.005539686365506265,13.019272565841675
1781029405.6192198,-0.25,-0.00534921831863377,13.10217571258545
1781029405.70037,-0.25,-0.004770607101642644,13.183326005935669
