t,u,r,time_s
1780876719.5637295,0.0,0.12,0.077850341796875
1780876719.6637063,0.0,0.12,0.1778271198272705
1780876719.763762,0.0,0.12,0.27788281440734863
1780876719.8637602,0.0,0.12,0.3778810501098633
1780876719.964241,0.0,0.12,0.4783618450164795
1780876720.0638864,0.0,0.12,0.5780072212219238
1780876720.1637988,0.0,0.12,0.6779196262359619
1780876720.2639863,0.0,0.12,0.7781071662902832
1780876720.3637283,0.0,0.12,0.8778491020202637
1780876720.4640317,0.0,0.12,0.9781525135040283
1780876720.5637336,0.0,0.12,1.0778543949127197
1780876720.6638587,0.0,0.12,1.1779794692993164
1780876720.7638254,0.0,0.12,1.2779462337493896
1780876720.8641524,0.0,0.12,1.3782732486724854
1780876720.9637382,0.0,0.12,1.4778590202331543
1780876721.0641482,0.0,0.12,1.5782690048217773
1780876721.1638403,0.0,0.12,1.6779611110687256
1780876721.263789,0.0,0.12,1.777909755706787
1780876721.3636847,0.0,0.12,1.877805471420288
1780876721.464745,0.0,0.12,1.9788658618927002
1780876721.564091,0.0,0.12,2.078211784362793
1780876721.663749,0.0,0.12,2.1778697967529297
1780876721.763727,0.0,0.12,2.2778477668762207
1780876721.8642426,0.0,0.12,2.3783633708953857
1780876721.9637456,0.0,0.12,2.4778664112091064
1780876722.0637562,0.0,0.12,2.5778770446777344
1780876722.1641338,0.0,0.12,2.6782546043395996
1780876722.2637613,0.0,0.12,2.7778820991516113
1780876722.3639574,0.0,0.12,2.8780782222747803
1780876722.4641151,0.0,0.12,2.978235960006714
1780876722.5641994,0.0,0.12,3.078320264816284
1780876722.6637523,0.0,0.12,3.177873134613037
1780876722.7640069,0.0,0.12,3.278127670288086
1780876722.864315,0.0,0.09999999999999999,3.3784358501434326
1780876722.9637735,0.0,0.07999999999999999,3.4778943061828613
1780876723.0638335,0.0,0.059999999999999984,3.5779542922973633
1780876723.163785,0.0,0.03999999999999998,3.677905797958374
1780876723.2639408,0.0,0.01999999999999998,3.778061628341675
1780876723.3645036,-0.03,-2.0816681711721685e-17,3.878624439239502
1780876723.4640477,-0.03,-0.02000000000000002,3.978168487548828
1780876723.5639155,-0.04000000000000001,-0.04000000000000002,4.078036308288574
1780876723.6643958,-0.04000000000000001,-0.060000000000000026,4.178516626358032
1780876723.763938,-0.04000000000000001,-0.08000000000000003,4.278058767318726
